0,1,2,3,4,5
,,,,,
,,Plan de mantenimiento de MTL,,,
,,,,,
,,Especificaciones,,,Ilustración del equipo 
,,"Mixer de tanque de lodo marca Baldor 
Motor de 5 HP 60 HZ Frame 184TC Modelo VM3615T
BIM 1020 - Cajas de engranajes de eje Unicase
460V/6.6 AMP(90%)  230V/13.2 AMP(90%) ",,,
,,Partes,Intervalo,Labor de Mantenimiento,Materiales y Herramientas
,,Motor,Semestral,Inspecciones generales de los motores (Verificar parametros eléctricos y temperatura),"•	Equipo de protección 
•	Osciloscopio
•	Megóhmetro
•	Multímetro
•	Cámara térmica
•	Equipo de calibración
•	Llaves y llaves de tubo
•	Mazo
•	Alicates y tenazas
•	Extractores de rodamientos
•	Retenedores, Juntas y selladores
•	Repuestos originales con NORD"
,,Motor,Anualmente,"Mantenimiento de los rodamientos(Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	Grasa para rodamientos Mobil Grease XHP222 (NLGI grado 2) o sus equivalentes
•	Kit de limpieza
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos
•	Retenedores, Juntas y selladores
•	En caso de cambio de rodamientos usar rodamientos de bola de 1 hilera"
,,Reductor,Mensual,Comprobar nivel de aceite y verificar que no hay agua en el interior,"•	Equipo de protección 
•	ASEGÚRESE de desconectar o bloquear la alimentación de la unidad
•	Inspección visual del nivel de aceite
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Reductor,Semestral,Limpiar el reductor,"•	Equipo de protección 
•	Inspección visual en busca de daños 
•	Kit de Destornilladores 
•	Kit de limpieza
•	Llaves de boca y llaves de cubo"
,,Reductor,Anualmente,"Mantenimiento del Reductor (Verificar temperatura, Lubricación y si es necesario cambio de rodamientos, empaques, retenedores, O-rings)","•	Equipo de protección 
•	ASEGÚRESE de desconectar o bloquear la alimentación de la unidad 
•	Grasa para rodamientos NLGI grado 2 o sus equivalentes
•	Kit de limpieza
•	Llaves y llaves de tubo
•	Cámara termográfica
•	Equipo de calibración
•	Extractores de rodamientos
•	Retenedores, Juntas y selladores
•	En caso de cambio de rodamientos usar rodamientos de bola de 1 hilera"
,,Reductor,Semestral,Drenar y sustituir el aceite ,"•	Equipo de protección 
•	Aceite ISO VG 220, Mineral Oil
•	Recolector de aceite
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Extractores de rodamientos
•	Retenedores, Juntas y selladores"
,,Panel de control,Anualmente,"Comprobar el estado y la seguridad del cableado y de las conexiones eléctricas (Medir tensión, corriente y medir aislamiento)","•	Equipo de protección 
•	Cámara termográfica
•	Equipo de calibración
•	Selladores dieléctricos
•	Kit de Destornilladores
•	Pinzas, Alicates y Tenazas
•	Megóhmetro
•	Multimetro
•	Llaves de cubo"
,,Estructura,Semestral,Comprobar la integridad de todos los pernos,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Cinta métrica
•	Medidor de torque de tuercas "
,,Aspas,Diariamente,Inspección visual para correcto funcionamiento ,"•	Equipo de protección 
•	Inspección visual en busca de daños  "
,,Aspas,Anualmente,Comprobar la integridad de todos los pernos,"•	Equipo de protección 
•	Inspección visual en busca de daños  
•	Kit de limpieza
•	Llaves de boca y llaves de cubo
•	Medidor de torque de tuercas "
